순번,약국명칭,약국전화번호,약국소재지(도로명)
1,든든약국,032-832-6482,"인천광역시 연수구 독배로40번길 21, 유한빌딩 1층 102호 (옥련동)"
2,송도봄약국,032-851-8835,"인천광역시 연수구 해돋이로 161, 세종프라자 106호 (송도동)"
3,예쁜나무약국,,"인천광역시 연수구 랜드마크로 20, 상가동 215호 (송도동, 호반써밋 송도)"
4,치유약국,,"인천광역시 연수구 아트센터대로168번길 100, 한라 웨스턴파크 송도 152호 (송도동)"
5,솔로몬약국,032-822-3360,"인천광역시 연수구 용담로 153, 대동월드스포츠센터 2층 201호 일부, 201-1호 (연수동)"
6,2층약국,,"인천광역시 연수구 아트센터대로168번길 101, 송도랜드마크푸르지오시티 251호 (송도동)"
7,한마음약국,070-4126-9715,"인천광역시 연수구 송도문화로28번길 28, 203동 208호 (송도동, 송도글로벌캠퍼스푸르지오)"
8,수약국,,"인천광역시 연수구 센트럴로 232, E동 1층 172호 (송도동, 더샵센트럴파크1)"
9,S메디칼약국,032-833-7599,"인천광역시 연수구 하모니로178번길 6, 121,122,123호 (송도동)"
10,송도이레약국,,"인천광역시 연수구 해돋이로172번길 42, 103호 (송도동)"
11,호랑이약국,,"인천광역시 연수구 인천타워대로 257, 아트포레 A동 1층 123호 (송도동)"
12,송도온누리약국,032-833-6606,"인천광역시 연수구 컨벤시아대로230번길 54, A136~137호 (송도동)"
13,송도온누리약국,032-833-6606,"인천광역시 연수구 컨벤시아대로230번길 54, A136~137호 (송도동)"
14,맑은샘온누리약국,,"인천광역시 연수구 하모니로177번길 49, 형지글로벌 패션복합센터 202호 (송도동)"
15,송도이음약국,,"인천광역시 연수구 아트센터대로 87, 커낼워크D4 WINTER 402동 152호 (송도동)"
16,송도더푸른약국,,"인천광역시 연수구 해돋이로151번길 4, 103호 (송도동)"
17,송도골드약국,,"인천광역시 연수구 신송로 157-9, 105호, 106호 (송도동)"
18,참다온약국,,"인천광역시 연수구 하모니로178번길 22, 115,115-1,116호 (송도동)"
19,튼튼약국,032-817-3071,"인천광역시 연수구 앵고개로 242, 제일빌딩 1층 101호,102호 (동춘동)"
20,송도가로수약국,,"인천광역시 연수구 해돋이로 168-2, 114,115호 (송도동)"
21,엄마손약국,,"인천광역시 연수구 신송로 154, 더 제니스 1층 115호 (송도동)"
22,타임365약국,,"인천광역시 연수구 하모니로 158, 송도타임스페이스 A-116,117,118호 (송도동)"
23,하나약국,032-815-0153,"인천광역시 연수구 먼우금로188번길 12, 이리옴3빌딩 106,107,108호 (연수동)"
24,랜드마크약국,032-859-0206,"인천광역시 연수구 랜드마크로 68, 206호 (송도동, 랜드마크시티센트럴더샵)"
25,별온누리약국,032-832-9933,"인천광역시 연수구 하모니로 158, 송도타임스페이스 A-110,111,112호 (송도동)"
